name,when,project_col,type,owner_col,country_col,company_1,market_cap,company_2,partial_power,total_value,total_power,power_used,link_annou,comment_annou,
7011.T,2020-03-18,Anegasaki Thermal Power Station (Ichihara City Chiba Prefecture),GasTurbine,,Japan,Mitsubishi Hitachi Power Systems Ltd.,,,,,1950,1950,https://www.mhps.com/news/20200318.html,,
1608.HK,2020-02-24,Sri Lanka,CombEngine,,Sri Lanka,VPower Group,930000000,,,,39,39,http://vpower.com/vpower-group-signs-new-contract-aggregating-total-installed-capacity-close-100mw-sri-lanka/,,
8002.T,2020-02-21,Fujairah F3 ,GasTurbine,Emirates Water and Electricity Company,United Arab Emirates,Marubeni,8230000000,,,,2400,2400,https://www.marubeni.com/en/news/2020/release/20200221E.pdf,,
8002.T,2020-01-20,Al KharsaahSolar PV IPP ,Solar,,Qatar,Marubeni,8230000000,,,,800,800,https://www.marubeni.com/en/news/2020/release/20200120E.pdf,,
028260.KS,2020-02-19,Fujairah F3 ,GasTurbine,Emirates Water and Electricity Company,United Arab Emirates,Samsung C&T,12100000000,,,,2400,2400,http://news.samsungcnt.com/samsung-ct-wins-fujairah-f3-combined-cycle-power-plant-contract-in-uae/,,
SIE.DE,2020-02-18,Belarus peak load power plant,GasTurbine,RUE Minskenergo,Belarus,Siemens AG,72000000000,,300,,300,300,https://press.siemens.com/global/en/pressrelease/siemens-supply-further-power-plant-equipment-belarus,,
GE,2020-02-06,Azito’s phase IV power plant located in the Yopougon district of Abidjan,GasTurbine,Azito Energie S.A. ,Ivory Coast,GE,63000000000,,,,253,253,https://www.genewsroom.com/press-releases/azito-phase-iv-azito-energie-selects-ge-technology-add-253-mw-power-c%C3%B4te-d%E2%80%99ivoire,,
GE,2020-02-05,Kamisu Biomass Power Generation plant,Biomass,Solariant Capital LLC.,Japan,Hitachi Zosen Corporation,63000000000,GE,,,50,50,https://www.genewsroom.com/press-releases/ge-supplying-steam-technology-high-efficiency%C2%A0biomass-power-plant-japan,,
GE,2020-01-14,Orot Rabin plant located in Hadera Israel,GasTurbine,Israel Electric Corporation (IEC),Israel,Israel Electric Corporation (IEC),63000000000,GE,630,,1260,1260,https://www.genewsroom.com/press-releases/israel-electric-corporation-awards-second-contract-ge-ha-gas-turbine-technology,,
SIE.DE,2019-12-10,150 MW Lukomlskaya plant 100MW Novopolotskaya plant,GasTurbine,RUE Vitebskenergo,Belarus,Siemens AG,72000000000,,250,,250,250,https://press.siemens.com/global/en/pressrelease/siemens-supplies-gas-turbines-peaking-power-plants-belarus,,
GE,2019-12-03,Pilgrim Nuclear Power Station,Nuclear,Holtec International,United States,GE,63000000000,GE,,,,,https://www.genewsroom.com/press-releases/ge-hitachi-nuclear-energy-awarded-contract-support-decommissioning-pilgrim-nuclear,,
2727.HK,2019-11-29,Presenzano,GasTurbine,,Italy,Ansaldo Energia / Shanghai Electric,9000000000,Edison,,370,760,760,https://www.ansaldoenergia.com/PublishingImages/news/comunicato%20stampa%20edison%2029-11/PressRelease_Presenzano.pdf,,
SIE.DE,2019-11-12,Hiep Phuoc 1 steam power plant in Ho Chi Minh City,GasTurbine,,Vietnam,Siemens AG,72000000000,,780,,1200,1200,https://press.siemens.com/global/en/pressrelease/siemens-upgrade-steam-power-plant-vietnam-combined-cycle-power-plant,,
SIE.DE,2019-11-06,Provinz Yeoju,GasTurbine,Yeoju Energy Services,South Korea,Siemens AG,72000000000,SK Engineering & Construction Co. Ltd.,,,1000,1000,https://press.siemens.com/global/de/pressemitteilung/siemens-liefert-power-island-mit-hl-klasse-gasturbinen-nach-suedkorea,,
SIE.DE,2019-10-24,Bin Qasim Power Complex in Karachi ,GasTurbine,,Pakistan,Siemens AG,72000000000, China’s Harbin Electric International,900,650,900,900,https://press.siemens.com/global/en/pressrelease/siemens-supply-gas-turbines-new-power-plant-pakistan,,
7011.T,2019-10-21,FORT MCMURRAY ALBERTA CANADA (,GasTurbine,,Canada,Mitsubishi Hitachi Power Systems Ltd.,,,800,,,800,https://amer.mhps.com/mhps-to-provide-two-jac-gas-turbines-and-heat-recovery-steam-generators-for-suncor-oil-sands-facilit.html?_ga=2.222346715.1935163020.1586592387-1949795186.1586592387,,
1608.HK,2019-10-09,Rakhine’s Kyaukphyu Yangon’s Thanlyin and Thaketa,CombEngine,Ministry of Electricity and Energy’s Electric Power Generation Enterprise,Myanmar,VPower Group,930000000,Zeya & Associates,,,900,900,http://vpower.com/vpower-group-wins-four-power-generation-projects-in-myanmar-ready-to-make-further-contribution-to-local-development-total-installed-capacity-to-double-in-2020/,,
GE,2019-10-02,Dania Beach Facility,GasTurbine,Power Florida Power & Light Company,United States,GE,63000000000,,860,,860,860,https://www.genewsroom.com/press-releases/ge-launches-latest-evolution-its-ha-gas-turbine-power-florida-power-light-company%E2%80%99s,,
SIE.DE,2019-10-02,Tatarstan,GasTurbine,PJSC Kazanorgsintez,Russia,Siemens AG,72000000000,,250,290,250,250,https://press.siemens.com/global/en/pressrelease/siemens-signs-contract-turnkey-construction-industrial-power-plant-tatarstan,,
028260.KS,2019-10-01,Meghnaghat,GasTurbine,Reliance Bangladesh LNG & Power,Bangladesh,Samsung C&T,12000000000,?,,630,718,718,http://news.samsungcnt.com/samsung-ct-awarded-bangladesh-combined-cycle-power-plant-project/,,
GE,2019-09-30,Agios Nikolaos Power Plant,GasTurbine,MYTILINEOS S.A.,Greece,METKA,63000000000,GE,571,,2000,2000,https://www.genewsroom.com/press-releases/ge-secures-100th-unit-ordered-its-ha-gas-turbine-mytilineos%E2%80%99-agios-nikolaos-power,,
SIE.DE,2019-09-25,Marl Chemical Park,GasTurbine,Evonik Industries,Germany,Siemens AG,72000000000,Renco S.p.A.,180,,180,180,https://press.siemens.com/global/en/pressrelease/siemens-build-industrial-power-plant-marl-chemical-park-germany,,
GE,2019-09-15,Besmaya Power Plant,GasTurbine,Ministry of Electricity,Iraq,Mass Energy Group Holding,63000000000,GE,1500,,1500,1500,https://www.genewsroom.com/press-releases/iraqi-ministry-electricity-coordination-mgh-and-ge-add-15-gw-electricity-developing,,
SIE.DE,2019-09-14,Baiji ,GasTurbine,Ministry of Electricity,Iraq,Siemens AG,72000000000,Orascom Construction,1600,,1600,1600,https://press.siemens.com/global/en/pressrelease/siemens-and-orascom-construction-rebuild-16-gw-power-plant-iraq,,
7011.T,2019-09-09,Lamma Power Station's Unit 12,GasTurbine,,Hong Kong,Mitsubishi Hitachi Power Systems Ltd.,,,380,,,380,https://www.mhps.com/news/20190909.html,,
GE,2019-09-09,Guernsey Power Station in Ohio,GasTurbine,Caithness Energy L.L.C. ,United States,Gemma Power Systems,63000000000,GE,1875,,1875,1875,https://www.genewsroom.com/press-releases/caithness-energy-orders-ge%E2%80%99s-ha-gas-turbines-guernsey-power-station-ohio,,
SIE.DE,2019-09-05,New York,GasTurbine,Astoria Generating Company,United States,Siemens AG,72000000000,,300,,300,300,https://press.siemens.com/global/en/pressrelease/siemens-floating-power-plants-will-support-new-yorks-renewable-energy-strategy,,
SIE.DE,2019-09-04,Landivisiau,GasTurbine,Total Direct Énergie (TDE),France,Siemens AG,72000000000,,446,450,446,446,https://press.siemens.com/global/en/pressrelease/siemens-build-new-combined-cycle-power-plant-france,turnkey,
GE,2019-08-13,CHD Xiangyang Fancheng Hubei Province,GasTurbine,,China,,63000000000,GE,400,,400,400,https://www.genewsroom.com/press-releases/ge-celebrates-25th-anniversary-its-6f-gas-turbine-secures-two-new-orders,,
SIE.DE,2019-07-23,Electrification Roadmap,Energy,Federal Government of Nigeria,Nigeria,Siemens AG,72000000000,,12000,,12000,12000,https://press.siemens.com/global/en/pressrelease/siemens-and-nigerian-government-signed-implementation-agreement-electrification,,
SIE.DE,2019-07-09,Maisan combined cycle power plant,GasTurbine,Iraqi developer MPC part of Raban Al-Safina for Energy Projects (RASEP),Iraq,Siemens AG,72000000000,,840,280,840,840,https://press.siemens.com/global/en/pressrelease/siemens-supply-equipment-and-services-840-mw-power-plant-iraq,,
