date;toremove
February08,2020;SPIC Website: SEP Engineering Procures Anti-epidemic Materials to Aid Front-line Staff
February08,2020;SPIC Website: SEP Tianji Power Plant Redeploys Battle Against Virus
February03,2020;People.cn: SEP Steps up Efforts to Fight Epidemic
January08,2020;SPIC Website: SEP Holds Handover Ceremony for First Offshore Wind Power Maintenance Ship
January08,2020;SPIC Website: SEP Changxing Gas-fired Power Generation Instrument Control Team Honored National Quality Trustworthy T...
December26,2019;SPIC Website: SEP Turkish Subsidiary Awarded Best Bank-enterprise Cooperation Prize 2019 by ICBC Turkey
December19,2019;SPIC Website: SEP Subsidiaries Win Special Fund Support
December16,2019;SPIC Website: SEP Tianji Power Plant Passes 'Standardized Good Practice Enterprise with AAAAA Rating' Outstandingly
December13,2019;SPIC Website Grassroots Feature: Story Behind SEP Mozura Wind Park
December10,2019;SPIC Website: SEP Wins Honors in National 'Ankang Cup' Contest Again
December03,2019;SPIC Website: SEP Wujing Power Plant Awarded RMB 2 Million Subsidy in Shanghai
November20,2019;People.cn: CIIE Benefits Energy Enterprises Most: SEP Chairman Wang Yundan
November16,2019;People's Daily Overseas Edition: Maltese Foreign Minister Tells Belt and Road Story at CIIE
November15,2019;Shanghai Observer: SEP Strives to Become World-class Clean Energy Enterprise
November11,2019;Shanghai Association for Quality Official WeChat: 2nd CIIE International Quality Innovation Forum Held in Shanghai
November11,2019;Wenhui Daily APP: SEP Shares Quality Innovation Experience at CIIE
November09,2019;The Paper.cn: SPIC Inks 20 Deals at 2nd CIIE
November04,2019;SASAC Website: SPIC to Spare No Effort to Help Improve CIIE Volunteer Service
October31,2019;Toutiao: SEP Caojing Power Plant Sludge Blending Combustion Project Launched
October30,2019;SPIC Website: SEP Caojing Power Plant Sludge Blending Combustion Project Launched
October12,2019;SPIC Website: SEP Hunutlu Thermal Power Plant Site Approved Adana Special Industrial Zone in Turkey
October10,2019;Shanghai Observer: Cake, Birthday Noodles, Flowers...That is How We Celebrate Birthday for Motherland
October10,2019;Xinmin Evening News: SEPM Extends Wishes to Motherland with 'National Day Noodles'
October10,2019;Zhoudao: SEP Overseas Staff Eat 'National Day Noodles' on Mediterranean Island
September24,2019;Xinhuanet.com: China's Biggest Project with Direct Investment in Turkey Starts Construction
September20,2019;SPIC Website: SEP PV Power Plants Win Awards in National Power Industry Benchmarking Contest
September10,2019;Shanghai Observer: Century-old Yangshupu Power Plant to Rejuvenate
September10,2019;Jiefang Daily: Century-old Yangshupu Power Plant to Rejuvenate
September07,2019;SPIC Website: SEP Honored 'Shanghai Municipal Quality Gold Award in 2018'
September09,2019;SPIC Website: SEP Honored GPEA 2019 World Class by APQO
